field name,mode,type,description
TimeDate,NULLABLE,DATE,イベントの日付：ネットワークのローカルタイムゾーンでのイベントの日付
KeyPart,NULLABLE,STRING,一意のクエリ識別子：一意のクエリ識別子（ハッシュ化されたキー）。TimeUsec2と組み合わせて、クエリまたは入札オークションを一意に識別できる。
TimeUsec2,NULLABLE,INTEGER,クエリの Unix時間：1970年 1月1日午前 0時 0分 0秒（協定世界時）からのマイクロ秒数で表した、クエリの Unix時間。KeyPartと合わせて一意
Time,NULLABLE,DATETIME,イベントの時間：ネットワークのローカルタイムゾーンでのイベントの時間。24 時間形式（YYYY-MM-DD-HH:MI:SS）で表示
EventKeyPart,NULLABLE,STRING,一意のイベント識別子：一意のイベント識別子（ハッシュ化されたキー）。1回のクエリのインプレッションや他のイベントごとに固有の値が設定される。
EventTimeUsec2,NULLABLE,INTEGER,イベントの Unix時間：1970年1月1日午前0時0分0秒（協定世界時）からのマイクロ秒数で表した、インプレッションまたは他のイベントの Unix時間。
AdvertiserId,NULLABLE,INTEGER,DFP 広告主 ID：配信されたクリエイティブに関連付けられているアド マネージャーの広告主会社の数値ID。
OrderId,NULLABLE,INTEGER,オーダー ID：配信された広告申込情報とクリエイティブを含むアド マネージャー オーダーの数値 ID。’p_MatchTableOrder_22678268584’テーブル紐付け
LineItemId,NULLABLE,INTEGER,DFP 広告申込情報 ID：配信されたアド マネージャー広告申込情報の数値 ID。’p_MatchTableLineItem_22678268584’テーブル紐付け。
CreativeId,NULLABLE,INTEGER,クリエイティブID：配信されたアドマネージャークリエイティブの数値ID。ADCASマスタテーブル紐付け。
GfpContentId,NULLABLE,INTEGER,一意の動画コンテンツ ID：広告が配信された動画コンテンツ。001_gam_api.content_masterのcontent_idと紐づけ
SambaId,NULLABLE,STRING,001_gam_api.content_masterのsamba_idと紐づけて取得
VideoPosition,NULLABLE,INTEGER,動画の位置：1~17 0 = 不明な位置 1 = プレロール 2 = 任意のミッドロール （サポート終了） 3 = ポストロール 4 = 最初のミッドロール 5 = 2 番目のミッドロール、以降同様
PodPosition,NULLABLE,INTEGER,動画連続配信広告の掲載位置：広告の位置を示す。例えば、2つ目の位置の広告は「2」で表示する。位置が不明なら、値は0になる。予約広告がなく、プログラマティック広告も配信されない場合、値は-1になる
VideoFallbackPosition,NULLABLE,INTEGER,代替位置：0～9。動画広告の代替の位置。 0 = 代替なし 1 = 最初の代替広告、2 = 2 番目の代替広告、3 = 3 番目の代替広告など。
ActionCode,NULLABLE,INTEGER,"アクションコード：2:Start,4:Midpoint,6:Complete,7:Mute,12:Full screen。100_gam_data.p_NetworkVideoConversions_22678268584のActionName列に基づいて生成。"
ActionCount,NULLABLE,INTEGER,アクション数：特定のクリエイティブのコンバージョンが発生した回数。
permission,NULLABLE,INTEGER,"承諾：null/0:なし(オプトアウト),1:あり(オプトイン)。adidがnullならnull:未取得。それ以外はadidが""optout""かどうかで判断。"
pf,NULLABLE,INTEGER,"プラットフォーム：1:Tver,2:FOD,0:その他　　"
delivery_type,NULLABLE,INTEGER,"配信タイプ：1:vod,2:simul,3:dvr,4:splive,5:spdvr,0:その他"
deal_type,NULLABLE,INTEGER,"取引タイプ：1:予約型,2:運用型,3:自社広告4:検証"
